rock_name,long,lat,SiO2n,TiO2n,Al2O3n,FeO*n,MnOn,MgOn,CaOn,Na2On,K2On,P2O5n
Basalt,-122.5114,46.2597,48.99,1.62,15.44,9.94,0.16,9.31,10.54,2.74,0.86,0.4
Basaltic andesite,-122.6009,46.2765,56.11,1.23,17.76,7.72,0.14,4.45,7.61,3.67,1,0.31
Andesite,-122.5513,46.3387,59.06,1.85,15.83,8.16,0.2,2.44,5.55,4.91,1.45,0.54
Basaltic andesite,-122.2518,46.4057,53.41,1.55,16.91,10.17,0.16,4.95,8.56,2.99,0.72,0.59
Basaltic andesite,-122.2516,46.426,52.04,1.35,16.97,9.86,0.19,5.79,9.52,3,0.85,0.43
Basalt dike,-122.2829,46.2549,51.89,1.33,17.64,9.55,0.14,5.72,10.15,2.83,0.56,0.19
Basalt dike,-122.2829,46.2549,51.85,1.35,21.21,7.79,0.12,3.24,10.65,3.07,0.56,0.16
Andesite,-122.4114,46.2683,61.86,1.1,16.81,6.07,0.12,2.89,6.34,3.89,0.65,0.26
Andesite,-122.4783,46.2747,59.59,1.06,16.31,6.62,0.1,4.32,6.69,3.57,1.51,0.24
Andesite breccia,-122.5022,46.2961,62.37,0.91,16.41,5.82,0.12,3.43,5.61,3.43,1.68,0.23
Andesite breccia,-122.4658,46.3064,60.14,1.04,17.41,6.17,0.08,3.35,10.59,0.77,0.22,0.23
Basaltic andesite,-122.4844,46.2731,57.65,1.23,16.36,7.58,0.16,4.27,7.78,3.46,1.21,0.31
Dacite breccia,-122.4514,46.3244,64.41,0.98,16.2,4.5,0.18,1.24,6.62,4.82,0.75,0.29
Basaltic andesite,-122.4497,46.2981,56.91,1.17,17.87,7.37,0.17,3.87,7.72,3.49,1.13,0.29
Andesite,-122.405,46.3142,59.34,1.05,16.27,6.67,0.11,4.59,6.94,3.28,1.5,0.24
Dacite breccia,-122.4694,46.3339,64.2,0.88,16.56,4.62,0.09,1.29,4.71,4.9,2.5,0.25
Andesite,-122.4903,46.3375,59.04,1.09,17,6.79,0.12,3.78,6.75,3.76,1.39,0.29
Gabbro/diorite,-122.4922,46.4031,55.3,1.29,18.02,7.86,0.15,4.44,8.19,3.6,0.9,0.24
Basaltic andesite,-122.4922,46.4031,56.21,1.66,17.51,8.6,0.15,3.33,7.36,3.9,1,0.27
Basalt,-122.1833,46.4592,51.11,1.09,17.88,9.49,0.15,7.26,10.01,2.42,0.42,0.16
Gabbro,-122.1594,46.4461,51.43,0.96,18.11,8.23,0.11,7.79,10.41,2.51,0.31,0.14
Basaltic andesite,-122.1469,46.4492,52.57,1.16,18.33,8.57,0.13,5.16,10.96,2.74,0.18,0.21
Basalt,-122.1447,46.445,52.19,0.99,16.25,9.15,0.17,7.71,11.04,2.19,0.16,0.17
Gabbro,-122.1256,46.4644,51.44,1.23,18.34,9.35,0.16,5.94,9.94,2.97,0.43,0.18
Basalt,-122.1969,46.4369,51.86,1.24,18.56,9.93,0.15,4.74,9.49,3.51,0.25,0.28
Basalt,-122.2061,46.3911,51.23,1.43,18.8,9.89,0.15,4.66,10.57,2.74,0.34,0.18
Basaltic andesite,-122.1514,46.4272,52.27,0.8,16.81,8.24,0.12,7.42,11.86,2.12,0.21,0.14
Basalt,-122.1378,46.4989,51.86,1.02,17.46,8.7,0.18,6.84,10.62,2.76,0.41,0.16
Basalt,-122.1933,46.4689,52.04,1.4,17.65,9.38,0.16,6.11,9.65,2.93,0.45,0.22
Basaltic andesite,-122.2339,46.3758,53.35,1.62,16.7,9.69,0.18,4.98,9.65,2.78,0.66,0.4
Basaltic andesite,-122.2406,46.4314,52.79,1.54,17.5,9.28,0.13,4.12,9.88,3.4,0.86,0.49
Basaltic andesite,-122.2072,46.4636,53.06,1.31,18.51,8.12,0.14,4.26,10.45,3.28,0.77,0.1
Basaltic andesite,-122.2392,46.3956,54.14,1.66,17.63,8.8,0.14,3.89,9.17,3.37,0.9,0.29
,,,,,,,,,,,,
Basaltic andesite,-122.1522,46.4475,53.17,1.17,18.61,8.12,0.13,5.07,10.28,2.88,0.36,0.2
Basaltic andesite,-122.1814,46.4856,53.13,1.55,18.36,8.61,0.12,4.8,9.39,3.22,0.56,0.26
Basaltic andesite,-122.1611,46.4417,53.31,0.87,20.03,6.87,0.11,4.83,10.58,2.89,0.37,0.14
Basaltic andesite,-122.2342,46.3928,54.28,1.31,17.03,8.84,0.14,5.2,9.41,3.07,0.51,0.21
Basaltic andesite,-122.2322,46.4044,54.37,1.34,16.92,10.71,0.2,4.02,8.67,2.99,0.47,0.31
Basaltic andesite,-122.1656,46.4644,53.69,1.17,19.52,8.12,0.15,4.19,9.81,3.03,0.13,0.17
Basaltic andesite,-122.2183,46.4011,54.2,1.3,17.93,9,0.18,4.14,9.75,2.92,0.37,0.2
Basaltic andesite,-122.1436,46.4317,54.57,1.02,18.63,8.17,0.15,4.5,8.91,3.28,0.57,0.18
Basaltic andesite,-122.2072,46.4636,55.42,1.57,16.96,9.36,0.15,4.01,7.52,3.8,0.9,0.3
Basaltic andesite,-122.2331,46.4239,55.13,1.18,19.6,7.15,0.07,3.52,9.23,3.27,0.66,0.18
Basaltic andesite,-122.2461,46.4097,55.8,1.02,17.61,8.1,0.16,4.3,8.91,3.38,0.39,0.33
Basaltic andesite,-122.2125,46.4383,56.1,1.54,16.2,9.3,0.19,3.38,7.59,3.59,1.54,0.56
Basaltic andesite,-122.1381,46.4511,56.05,1.22,16.28,9.04,0.15,4.35,8.69,3.26,0.8,0.16
Basaltic andesite,-122.1556,46.4125,57.24,1.13,17.16,8.07,0.14,3.7,7.91,3.19,1.23,0.23
,,,,,,,,,,,,
Andesite,-122.2147,46.4422,57.98,1.15,17.07,7.71,0.14,3.75,7.5,3.23,1.15,0.33
Andesite,-122.2147,46.4942,57.71,1.46,17.35,7.85,0.13,3.22,7.53,3.77,0.71,0.27
Andesite,-122.235,46.4531,58.82,1.56,16.76,8.17,0.14,2.59,6.58,3.69,1.36,0.32
Andesite,-122.1456,46.4494,57.96,1.17,16.49,7.99,0.14,3.97,8.67,3.13,0.3,0.18
Andesite,-122.1458,46.4458,58.49,1.15,16.19,7.95,0.14,3.96,7.72,3.21,1,0.18
Andesite,-122.2403,46.3919,60.25,1.72,15.9,8.25,0.15,2.49,6.05,3.96,0.81,0.43
Andesite,-122.1383,46.4506,58.39,1.25,15.97,8.65,0.15,3.46,7.3,3.52,1.13,0.18
Andesite,-122.2308,46.4394,59.59,1.89,15.83,8.34,0.11,2.46,5.63,4.2,1.53,0.41
Andesite,-122.2494,46.4525,58.84,1.12,16.46,6.93,0.13,4.27,6.71,3.66,1.63,0.25
Andesite,-122.2461,46.4986,61.48,1.03,17.12,6.14,0.06,2.37,4.85,4.85,1.55,0.55
Andesite,-122.1317,46.4428,62.51,1.28,15.24,7.33,0.14,2.12,5.62,3.6,1.78,0.36
Dacite,-122.2053,46.4967,70.08,0.63,14.45,4.69,0.11,0.79,2.37,4.65,2.07,0.15
Basalt,-122.1333,46.2631,50.07,1.03,20.4,8.23,0.14,5.46,11.75,2.47,0.28,0.16
Basalt,-122.2153,46.2928,50.25,1.86,16.72,10.27,0.18,7.1,10.5,2.53,0.37,0.22
Basalt,-122.2139,46.2775,51.98,2.26,16.35,12.47,0.23,4.64,8.66,2.88,0.21,0.33
Basalt,-122.1989,46.2697,52.12,2.18,16.31,11.42,0.19,4.47,10.01,2.7,0.21,0.4
Basalt,-122.245,46.2825,51.88,1.27,16.95,9.81,0.15,7.17,9.22,2.83,0.52,0.2
Basalt,-122.2011,46.27,52.03,1.68,17.68,9.44,0.21,5.31,10.14,2.91,0.36,0.26
Basalt,-122.2017,46.2747,52.14,2.27,15.98,12.18,0.2,4.48,9.05,2.96,0.39,0.35
Basalt,-122.2492,46.2806,52.16,1.31,17.8,9.01,0.16,6.02,9.88,2.94,0.55,0.17
Basalt,-122.1706,46.2664,51.52,1.24,19.26,9,0.16,4.56,10.99,2.84,0.29,0.14
Basaltic andesite,-122.2394,46.2675,52.56,1.57,17.93,9.78,0.19,4.71,9.5,3.12,0.41,0.23
Basaltic andesite,-122.2289,46.27,52.27,0.96,16.04,8.88,0.18,7.51,10.05,3.25,0.57,0.28
,,,,,,,,,,,,
,,,,,,,,,,,,
Basaltic andesite,-122.245,46.3111,52.64,1.38,19.22,8.65,0.13,4.1,9.99,3.12,0.6,0.18
Basaltic andesite,-122.2131,46.2878,52.47,1.61,16.98,9.86,0.16,5.61,9.68,2.63,0.8,0.18
Basaltic andesite,-122.2456,46.2894,53.09,1.41,18.85,8.72,0.15,4.05,9.29,3.14,1.14,0.15
Basaltic andesite,-122.1864,46.2647,53.52,1.37,16.92,9.33,0.17,5.38,9.91,2.65,0.52,0.23
Diorite,-122.2369,46.3089,53.39,1.35,17.97,9.04,0.16,4.47,9.89,2.98,0.58,0.17
Basaltic andesite,-122.2481,46.3328,54.12,1.61,16.92,9.73,0.14,4.4,8.58,3.17,1,0.32
Basaltic andesite,-122.1706,46.2853,54.12,1.51,17.74,9.39,0.16,3.93,9.21,3.18,0.54,0.21
Basaltic andesite,-122.1892,46.2794,54.74,1.53,18.32,8.7,0.15,3.48,8.96,3.1,0.77,0.24
Basaltic andesite,-122.2122,46.295,54.54,1.92,15.86,11.08,0.2,3.84,7.98,3.43,0.8,0.35
Basaltic andesite,-122.1703,46.2833,56.48,1.64,15.89,10.02,0.18,3.76,7.77,3.31,0.7,0.24
Granodiorite,-122.1314,46.2617,58.72,1.17,17.49,7.34,0.12,3.34,6.61,3.59,1.42,0.2
Andesite,-122.2394,46.2767,59.59,1.75,15.34,9.05,0.16,2.65,6.52,3.91,0.67,0.37
Andesite,-122.1806,46.2806,60.44,1.64,15.42,8.61,0.16,2.47,5.65,3.91,1.23,0.45
Andesite,-122.2417,46.2831,60.69,1.35,16.76,7.32,0.16,2.22,5.8,4.72,0.66,0.32
Andesite,-122.2478,46.2872,61.28,1.23,15.17,8.03,0.15,2.46,5.84,4.3,0.94,0.59
Rhyolite,-122.1319,46.2975,75.38,0.23,12.97,2.83,0.04,0.12,0.69,4.02,3.67,0.04
Basalt,-122.0158,46.4711,47.96,1.32,17.92,10.62,0.18,8.51,10.79,2.22,0.35,0.11
Basalt,-122.0244,46.4667,51.02,1.37,19.54,9.33,0.15,3.7,10.35,3.49,0.72,0.34
Gabbro,-122.0497,46.4783,50.11,1.45,17.25,9.89,0.19,7.54,10.64,2.38,0.38,0.18
Basalt,-122.0931,46.495,50.41,1.43,20.92,9.47,0.16,3.67,10.41,2.86,0.51,0.15
Basalt,-122.0208,46.4292,52.02,1.18,18.48,8.8,0.15,5.44,10.84,2.76,0.18,0.15
Basalt,-122.0025,46.475,51.18,1,18.87,8.93,0.17,6.12,9.73,3.11,0.56,0.32
,,,,,,,,,,,,
Basaltic andesite,-122.1111,46.4667,52.98,1.03,17.04,8.3,0.16,6.75,10.7,2.6,0.27,0.18
Basaltic andesite,-122.0597,46.4731,52.33,0.99,18.53,8.48,0.16,5.6,10.49,2.85,0.43,0.15
Basaltic andesite,-122.0992,46.4628,53.41,1.01,17.8,8.52,0.14,5.37,10.56,2.65,0.4,0.13
Gabbro,-122.0244,46.4753,53.05,1.43,18.02,9.64,0.16,4.58,9.06,3.36,0.46,0.23
Basaltic andesite,-122.1058,46.4344,54.42,0.83,17.9,7.83,0.16,5.14,9.88,2.98,0.53,0.31
Gabbro,-122.0225,46.4783,53.64,1.1,19.49,8.07,0.14,3.82,9.84,3.21,0.52,0.17
Basaltic andesite,-122.1178,46.4472,55.06,1.23,18.25,8.38,0.15,4.1,8.72,3.28,0.63,0.21
Basaltic andesite,-122.0856,46.4289,55.77,0.85,16.95,7.77,0.14,5.14,8.63,3.59,0.9,0.26
Basaltic andesite,-122.0942,46.4256,56.19,0.96,16.91,7.99,0.18,5.05,8.56,2.99,0.91,0.28
,,,,,,,,,,,,
Basaltic andesite,-122.0889,46.4428,55.65,1.13,17.87,7.95,0.16,4.02,8.87,3.25,0.91,0.17
Andesite,-122.0842,46.4636,57.23,1.6,16.16,9.13,0.17,3.65,7.31,3.56,0.91,0.29
Quartz diorite,-122.0539,46.4497,58.19,0.98,17.43,7.22,0.13,3.94,7.57,3.42,0.93,0.19
Quartz diorite,-122.0611,46.4408,57.61,1.11,17.16,7.55,0.14,4.09,7.26,3.42,1.45,0.2
Andesite,-122.1242,46.45,57.95,1.32,16.07,8.81,0.18,3.14,8.59,3.2,0.53,0.19
Andesite,-122.0928,46.4433,59.05,1.04,18.37,6.51,0.15,2.28,7.78,3.63,0.99,0.21
Andesite,-122.1092,46.445,58.81,1.17,17.01,7.77,0.13,3.09,7.13,3.38,1.28,0.23
Andesite,-122.1147,46.4475,60.97,1.55,15.63,7.67,0.16,2.48,6.11,4.14,0.93,0.36
Andesite,-122.1142,46.4581,61.12,1.44,15.67,7.87,0.13,2.45,6.05,3.82,1.19,0.25
Andesite,-122.1156,46.445,62.21,1.23,16.19,6.69,0.12,2.25,5.23,4.1,1.64,0.33
Dacite,-122.1172,46.4419,66.35,0.86,15.42,5.69,0.11,1.14,3.52,4.55,2.07,0.28
Dacite,-122.1236,46.4464,68.32,0.83,14.77,4.8,0.07,1.16,3.76,3.87,2.21,0.21
Granite,-122.0272,46.4586,70.4,0.55,14.16,4.54,0.08,0.61,2.36,4.31,2.88,0.1
Rhyolite tuff,-122.1033,46.4478,74.11,0.58,13.82,3.19,0.07,0.91,2.05,3.37,1.78,0.11
Basaltic andesite,-122.0917,46.2644,52.56,1.39,18.25,8.99,0.16,5.19,10.53,2.64,0.11,0.18
Basalt,-122.0408,46.2775,52.07,1.18,18.93,8.7,0.15,5.27,10.5,2.79,0.22,0.2
Diorite,-122.0806,46.2858,54.11,1.15,17.62,8.28,0.15,5.73,8.97,3.23,0.57,0.2
Diorite,-122.0406,46.2711,53.09,1.41,18.85,8.72,0.15,4.05,9.29,3.14,1.14,0.15
Diorite,-122.0894,46.2575,54.9,1.26,18.33,8.25,0.17,4.19,8.8,3.04,0.84,0.23
Basaltic andesite,-122.0653,46.2683,53.72,1.56,17.77,9.2,0.17,4.29,9.6,3.1,0.33,0.26
Basaltic andesite,-122.035,46.2944,55,0.95,18.13,6.99,0.15,5.47,9.18,3.19,0.79,0.17
Basaltic andesite,-122.02,46.2536,55.06,1.25,17.32,8.36,0.19,5.17,9,3.01,0.43,0.22
Diorite,-122.0875,46.2967,54.86,1.02,18.46,8.05,0.15,4.49,9.08,3.16,0.55,0.18
Basaltic andesite,-122,46.26,55.45,1.23,17.28,8.1,0.14,4.94,8.64,3.19,0.77,0.25
Basaltic andesite,-122.0294,46.2719,56.48,1.5,16.73,8.54,0.12,3.86,8.33,2.83,1.34,0.27
Basaltic andesite,-122.0725,46.2567,56.21,1.23,18.5,8.18,0.14,3.19,7.6,3.8,0.84,0.3
Diorite,-122.0258,46.3594,55.88,1.21,17.33,8.19,0.14,4.37,8.87,2.87,0.95,0.18
Andesite,-122.0722,46.2708,57.71,2.03,14.79,10.78,0.2,3.22,7.31,3.22,0.35,0.39
Quartz diorite,-122.1111,46.2858,57.54,1.1,17.87,7.42,0.12,3.66,7.93,3.05,1.14,0.18
Basaltic andesite,-122.0042,46.3611,56.58,0.84,16.66,7.76,0.13,5.18,8.63,3.15,0.81,0.25
Andesite,-122.0431,46.2592,57.33,1.17,17.98,7.66,0.14,3.88,8.2,2.92,0.5,0.21
Andesite,-122.0881,46.2642,57.33,1.07,18.15,7.46,0.13,3.92,7.48,3.64,0.64,0.18
Andesite,-122.1072,46.2711,58.05,1.85,15.54,10.09,0.16,3.09,6.38,3.81,0.71,0.32
Andesite,-122.1136,46.2639,58.02,1.93,15.23,10.09,0.19,3.01,7.5,3.34,0.39,0.29
Andesite,-122.1014,46.2531,58.39,1.46,16.89,8.18,0.14,2.92,7.38,3.98,0.42,0.23
Andesite,-122.0789,46.2611,58.38,1.93,15.24,9.83,0.18,2.99,6.76,3.83,0.54,0.34
Andesite,-122.0714,46.2658,58.79,1.95,15.32,9.59,0.18,2.79,6.84,3.67,0.58,0.29
Andesite,-122.0678,46.2739,58.64,1.49,16.78,8.06,0.17,2.88,6.76,3.81,1.01,0.38
Andesite,-122.0619,46.2653,59.98,1.69,15.23,9.13,0.18,2.36,5.98,4.15,0.86,0.45
Andesite,-122.0483,46.2517,59.45,1.44,16.31,8.75,0.15,2.17,6.09,4.13,1.14,0.37
Quartz diorite,-122.0611,46.2744,58.98,1.23,17.01,7.5,0.12,3.18,6.77,4.14,0.84,0.23
Quartz diorite,-122.0531,46.2731,58.92,1.18,18.29,6.9,0.14,2.25,6.87,4.43,0.81,0.22
Andesite,-122.0472,46.2683,60.09,1.31,16.67,7.36,0.12,2.68,6.7,3.7,1.02,0.35
Andesite,-122.0194,46.2622,62.65,1.04,16.91,5.81,0.13,1.87,4.67,4.77,1.87,0.29
Dacite,-122.0108,46.2514,65.28,0.94,16.06,5.25,0.13,1.53,4.56,4.65,1.33,0.26
Dacite tuff,-122.0619,46.2567,68.59,0.67,14.51,5.81,0.17,0.7,5.42,3.45,0.54,0.15
,,,,,,,,,,,,
,,,,,,,,,,,,
Dacite,-122.0861,46.2656,68.58,0.74,14.44,5.66,0.16,0.91,4.78,3.59,0.94,0.2
Dacite,-122.1161,46.2617,68.89,0.73,14.33,5.57,0.16,0.94,4.28,3.65,1.25,0.19
Dacite,-122.0253,46.2653,69.03,0.54,15.31,4.19,0.14,0.75,2.81,4.79,2.29,0.16
Basalt,-122.325,46.2006,50.51,1.43,18.59,10.04,0.15,5.75,10.01,2.96,0.35,0.2
Basaltic andesite,-122.3261,46.2239,52.29,1.63,18.07,10.24,0.15,4.05,10.34,2.82,0.14,0.29
Basalt,-122.3661,46.205,51.47,1.22,16.92,9.46,0.15,7.47,9.8,2.85,0.49,0.16
Basaltic andesite,-122.3325,46.175,52.02,1.26,17.55,9.16,0.15,6.31,10.13,2.78,0.47,0.16
Basaltic andesite,-122.3714,46.1769,52,1.07,16.07,8.88,0.15,7.69,10.65,2.57,0.7,0.23
Basalt,-122.3689,46.1769,51.39,1.48,16.89,10.11,0.15,6.78,9.7,2.75,0.57,0.18
Diorite,-122.3628,46.2278,52.88,1.54,17.66,9.35,0.15,5,9.74,2.86,0.57,0.26
Basaltic andesite,-122.2742,46.2186,52.27,1.42,17.76,9.43,0.18,5.32,9.97,2.88,0.58,0.2
Basaltic andesite,-122.34,46.1889,52.31,1.1,16.82,8.89,0.14,7.27,9.91,2.86,0.51,0.17
Basalt,-122.3717,46.185,51.82,1.43,19,9.33,0.15,4.71,9.4,3.37,0.56,0.21
Basaltic andesite,-122.3444,46.1639,52.03,1.48,19.45,8.89,0.15,3.99,10.18,3.13,0.5,0.19
Basaltic andesite,-122.3447,46.1731,52.04,1.49,19.31,8.94,0.14,4.09,10.13,3.13,0.52,0.19
Basaltic andesite,-122.3506,46.1842,53.24,1.5,17.71,9.31,0.2,4.56,9.31,3.05,0.87,0.26
Basaltic andesite,-122.3553,46.1953,52.68,1.23,18.68,8.74,0.14,4.83,9.75,3.14,0.61,0.19
Basaltic andesite,-122.2703,46.1825,52.7,1.33,18.14,9.02,0.15,5.35,9.88,2.93,0.32,0.19
Basaltic andesite,-122.3392,46.1944,52.62,1.6,17.44,9.86,0.16,5.09,9.34,3.1,0.59,0.2
Basaltic andesite,-122.3444,46.2086,52.74,1.58,17.75,9.5,0.16,4.77,9.58,3.11,0.62,0.19
Basaltic andesite,-122.2647,46.1933,52.65,1.43,19.44,8.61,0.15,3.8,9.87,3.24,0.65,0.17
Basaltic andesite,-122.3672,46.1347,53.6,1.75,17.59,8.8,0.16,4.22,9.82,3.29,0.41,0.35
Basaltic andesite,-122.3739,46.1769,52.87,1.42,18.13,9.06,0.15,4.82,9.61,3.12,0.6,0.23
Quartz diorite,-122.3031,46.2444,52.74,1.51,18.29,9.46,0.16,4.67,8.88,3.35,0.65,0.3
Basaltic andesite,-122.3439,46.1736,53.15,1.19,18.49,8.37,0.13,4.86,10.16,2.92,0.57,0.16
Quartz diorite,-122.3053,46.2481,53.24,1.97,17.17,9.51,0.16,4.78,9.24,3.04,0.61,0.28
Basaltic andesite,-122.3567,46.1806,53.4,1.25,17.53,8.75,0.14,5.64,9.43,3,0.64,0.22
Basaltic andesite,-122.3558,46.2089,53.35,1.31,19.92,7.82,0.12,3.51,9.98,3.41,0.4,0.17
Basaltic andesite,-122.2586,46.2336,53.32,1.43,17.84,9.31,0.15,4.94,8.7,3.27,0.8,0.23
Basaltic andesite,-122.3533,46.1939,53.61,1.4,17.8,8.91,0.18,4.56,9.34,3.23,0.74,0.22
Basaltic andesite,-122.3617,46.1919,53.93,1.2,18.01,8.14,0.11,5.05,9.56,3.06,0.75,0.2
Basaltic andesite,-122.3575,46.1522,53.86,0.98,16.83,8.04,0.13,6.65,10.19,2.71,0.45,0.15
Basaltic andesite,-122.3439,46.2283,53.83,1.35,20.8,7.29,0.12,2.69,9.93,3.2,0.59,0.19
Basaltic andesite,-122.3342,46.2283,53.82,1.54,19.43,8.35,0.14,3.15,9.4,3.3,0.67,0.19
Basaltic andesite,-122.3197,46.2,53.93,1.21,16.79,8.63,0.13,6.38,9.12,2.95,0.66,0.2
Basaltic andesite,-122.3283,46.1558,53.88,1.59,17.86,9.09,0.14,3.84,9.14,3.4,0.84,0.21
Quartz diorite,-122.3047,46.2464,54.06,1.46,18.43,8.75,0.13,4.2,8.37,3.71,0.62,0.27
Basaltic andesite,-122.3494,46.1889,53.71,1.18,18.68,8.09,0.14,4.27,10.2,3.01,0.57,0.16
Basaltic andesite,-122.3544,46.1914,54.05,1.57,16.73,9.77,0.16,4.39,8.76,3.43,0.87,0.25
Basaltic andesite,-122.3653,46.1525,54.28,1.01,16.98,8,0.15,6.01,9.66,3.04,0.71,0.16
Basaltic andesite,-122.2675,46.1947,54.32,1.79,16.69,10.02,0.18,3.92,8.45,3.58,0.79,0.26
Basaltic andesite,-122.3742,46.1764,54.91,1.84,17.07,9.76,0.19,3.56,7.69,3.81,0.81,0.36
Basaltic andesite,-122.3278,46.2039,54.61,1.53,19.19,8.35,0.17,2.83,8.79,3.63,0.66,0.23
Basaltic andesite,-122.2783,46.2044,54.81,1.32,17.59,8.3,0.12,4.63,8.97,3.13,0.97,0.16
Basaltic andesite,-122.3689,46.1978,55.12,1.71,17.66,9.28,0.16,3.28,8.46,3.74,0.35,0.23
Basaltic andesite,-122.2714,46.2217,55.35,1.19,17.73,8.09,0.12,4.5,9.09,3.1,0.66,0.17
Basaltic andesite,-122.2611,46.2017,55.13,1.8,16.99,9.62,0.17,3.7,8.13,3.48,0.75,0.22
Basaltic andesite,-122.3203,46.1928,55.46,1.54,18.18,8.43,0.12,3.21,8.19,3.59,0.98,0.3
Basaltic andesite,-122.2631,46.2022,55.44,1.46,18.86,8.23,0.1,2.74,8.42,3.72,0.83,0.2
Basaltic andesite,-122.3628,46.1781,55.71,1.79,16.6,9.81,0.17,3.66,7.27,3.9,0.79,0.3
Basaltic andesite,-122.36,46.2364,55.98,1.83,16.89,9.31,0.18,3.56,7.69,3.54,0.79,0.24
Basaltic andesite,-122.3358,46.1808,56.13,1.55,18,8.26,0.14,2.71,8.14,3.7,1.06,0.32
Basaltic andesite,-122.3694,46.2361,56.86,1.15,16.29,7.81,0.15,4.87,8.28,3.26,1.09,0.26
Basaltic andesite,-122.3606,46.2267,56.63,1.04,17.31,7.33,0.12,4.81,8.61,3.18,0.79,0.18
Basaltic andesite,-122.3589,46.2186,56.75,1.16,16.3,7.89,0.14,4.85,8.23,3.29,1.12,0.25
Basaltic andesite,-122.3675,46.2303,56.84,1.04,17.35,7.28,0.12,4.64,8.4,3.29,0.87,0.17
Andesite dike,-122.2967,46.22,58.04,0.95,17.82,6.73,0.13,3.32,8.14,3.2,1.47,0.22
Basaltic andesite,-122.3439,46.2281,56.8,1.79,16.68,9.05,0.19,3.39,7.16,3.96,0.76,0.23
Andesite,-122.3667,46.1661,57.66,1.15,16.18,7.56,0.16,4.63,7.88,3.32,1.2,0.27
Basaltic andesite,-122.2725,46.1811,57,1.78,16.71,8.99,0.18,3.24,7.26,3.73,0.86,0.25
Quartz monzodiorite,-122.3039,46.138,57.78,1.55,15.93,8.12,0.13,3.84,7.01,3.63,1.67,0.33
Quartz diorite,-122.2989,46.2469,57.98,1.21,16.33,7.54,0.13,4.24,7.55,3.39,1.4,0.22
Andesite,-122.35,46.2156,57.85,1.47,16.3,7.95,0.14,3.83,7.35,3.41,1.39,0.31
Andesite,-122.3433,46.1578,58.57,1.41,16.22,7.8,0.14,3.48,7.03,3.45,1.58,0.32
Andesite,-122.3603,46.2156,58.71,1.3,15.73,7.57,0.12,4.16,6.85,3.59,1.63,0.34
Andesite,-122.3661,46.2367,58.89,1.33,15.64,7.64,0.13,4.16,7,3.27,1.58,0.34
Andesite,-122.3339,46.1556,59,1.33,15.88,7.25,0.13,4,6.88,3.57,1.61,0.35
Andesite sill,-122.3336,46.2275,59.75,1.29,17.22,7,0.18,2.71,6.28,4.05,1.11,0.43
Quartz monzodiorite,-122.3208,46.2378,58.98,1.2,16.25,7.21,0.12,3.79,7.28,3.34,1.57,0.26
Andesite,-122.3494,46.2125,59.3,1.32,15.64,7.47,0.13,4.01,6.9,3.29,1.61,0.34
Andesite,-122.2661,46.1289,59.66,1.13,16.45,6.96,0.12,3.64,7.24,3.45,1.1,0.23
Andesite,-122.3083,46.1972,59.89,1.32,17.87,6.83,0.15,2,6.52,4.15,0.99,0.27
Dacite dike,-122.2608,46.2458,63.73,1.06,16.3,6.08,0.15,1.7,5.4,4.12,1.12,0.36
Dacite,-122.3261,46.1953,64,1.02,16.1,6.08,0.15,1.58,4.46,5.35,0.88,0.38
Dacite,-122.3219,46.1917,64.16,1.12,15.91,6.09,0.2,1.63,4.17,4.6,1.71,0.4
Dacite,-122.3683,46.2372,67.29,0.77,14.59,5.36,0.09,1.27,3.49,4.78,2.17,0.2
Basalt,-122.365,46.0969,48.03,1.44,17.91,10.07,0.18,6.92,12.94,2.19,0.18,0.14
Basalt,-122.3719,46.0531,48.41,1.31,18.6,9.45,0.15,6.81,12.88,2.13,0.12,0.14
Basalt,-122.3247,46.0578,49.41,1.41,17.03,10.12,0.11,7.23,12.19,2.22,0.12,0.17
Basalt,-122.3697,46.0797,49.02,2.03,16.58,12.59,0.21,6.03,10.01,2.87,0.42,0.23
Basalt,-122.3733,46.1108,48.62,1.53,17.76,10.04,0.18,6.48,12.9,2.07,0.26,0.15
Basalt,-122.3542,46.0594,48.46,1.35,19.65,9.16,0.15,5.46,13.17,2.09,0.37,0.14
Basalt,-122.3547,46.0622,48.44,1.46,17.65,9.88,0.16,7.1,12.62,2.27,0.25,0.16
Basalt,-122.3661,46.0439,49,1.89,15.12,11.57,0.22,7.09,12.33,2.37,0.23,0.19
Basalt,-122.3614,46.0922,49.01,1.67,16.82,10.81,0.18,6.67,12.1,2.29,0.28,0.17
Basalt,-122.3503,46.0494,49.63,2.18,14.55,12.26,0.27,6.37,11.35,2.83,0.32,0.26
Basalt,-122.3369,46.0736,50.69,1.48,15.98,10.14,0.16,6.66,11.57,2.79,0.34,0.19
Basalt,-122.3142,46.0486,50.74,1.66,15.75,10.68,0.2,6.22,10.95,3.18,0.38,0.25
Basalt,-122.3667,46.0467,50.94,2.24,15.55,12.98,0.24,4.78,8.82,3.52,0.68,0.28
Basalt,-122.3208,46.0367,51.44,1.58,16.19,10.88,0.15,5.29,10.76,3.11,0.38,0.22
Basalt,-122.3617,46.0378,51.26,2.23,15.52,12.69,0.25,4.75,9.12,3.35,0.56,0.29
Basalt,-122.2872,46.0031,51.9,0.76,17.09,7.86,0.13,8.22,11.12,2.3,0.48,0.13
